Link,Abstract,DOI
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174854085&doi=10.1016%2fj.msea.2023.145841&partnerID=40&md5=4ee26bc3621fcf12ced021cfe8c682ca,"Refractory multiple-principal element alloys (RMEAs) systems have drawn particular attentions in recent years due to their great potential for high-temperature application. However, most of RMEAs exhibit tensile brittleness, oxidation, and phase decomposition, which limit their potential applications. Hence, developing new RMEAs with excellent ductility has become one of the urgent tasks for RMEAs’ applications. Here, a ductile VNbTa equiatomic RMEA has been fabricated by vacuum arc melting. The VNbTa alloy exhibits high tension strength (σ0.2 = 1033 MPa), outstanding fracture elongation (εf >19 %), super rolling formability (>80 % thickness reduction), and work hardening at room temperature (RT). The high strength of VNbTa alloy is mainly associated with solid solution strengthening and local lattice distortion induced by the misfits of atomic sizes and mechanical moduli of various elements. The super formability of VNbTa alloy attributes to the mobility of a/2<1 1 1>-type dislocations and the formation of kink bands at RT. This study not only clarifies the phase stability, lattice distortion, strengthening, elastic and plastic mechanisms of the ductile VNbTa alloy by combining experiments and theoretical calculations, but also provides more helpful information to design RMEAs with superior ductility at room temperature. © 2023 Elsevier B.V.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203180005&doi=10.1038%2fs41598-024-70500-9&partnerID=40&md5=401ae153bac2e42422aa827dd6869eb6,"We study the effects of the chemical short-range order (SRO) on the thermal conductivity of the refractory high-entropy alloy HfNbTaTiZr using atomistic simulation. Samples with different degrees of chemical SRO are prepared by a Monte Carlo scheme. With increasing SRO, a tendency of forming HfTi and TiZr clusters is found. The phonon density of states is determined from the velocity auto-correlation function and chemical SRO modifies the high-frequency part of the phonon density of states. Lattice heat conductivity is calculated by non-equilibrium molecular dynamics simulations. The heat conductivity of the random alloy is lower than that of the segregated binary alloys. Phonon scattering by SRO precipitates might be expected to reduce scattering times and, therefore, decrease thermal conductivity. We find that, in contrast, due to the increase of the conductivity alongside SRO cluster percolation pathways, SRO increases the lattice heat conductivity by around 12 %. This is expected to be a general result, extending to other HEAs. © The Author(s) 2024.",10.1038/s41598-024-70500-9
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204870228&doi=10.1016%2fj.matchar.2024.114346&partnerID=40&md5=5415d68601e2e96334b6bde877e41308,"Refractory High-Entropy Alloys (RHEAs) have been presented as attractive materials for high-temperature applications, such as combustion engines for the aerospace sector, due to the possible service temperature increase, which can result in superior yield of the combustion itself. This work presents the combination of CALPHAD simulations with the in-situ alloying of the MoNbTaW system by Direct Energy Deposition (DED) for a high-throughput screening of RHEAs. CALPHAD simulations show that the addition of V and Ti allows a single-phase BCC structure to be kept. For the DED setup available, MoNbTaW single-track deposits were optimised through Response Surface Methodology. Afterwards, in-situ alloying with V was conducted. Microstructural characterisation was assessed at room temperature through SEM/EDS, and the mechanical characterisation was performed at room temperature (RT), 350 °C and 700 °C, through nanoindentation tests. The microstructural characterisation shows that alloying up to 40 at.% V to the base system allows to keep a single-phase structure; however, some segregations are observed. Mechanical characterisation revealed that V alloying of 22 % promotes a 93 % increase in hardness at RT and a 150 % increase at 700 °C. This study contributes to increasing the practical knowledge of RHEAs, thus accelerating the application of these alloys in aerospace applications. © 2024 The Authors",10.1016/j.matchar.2024.114346
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200444297&doi=10.1016%2fj.jallcom.2024.175765&partnerID=40&md5=297e96157b3ae33b38633fe5c3180a9c,"Refractory metals such as Ti, Zr, Hf, V, Nb, and Ta can dissolve oxygen up to 33 %, 29 %, 20 %, 17 %, 9 %, and 5.7 %, respectively, at high temperatures. The high solubility of oxygen causes brittleness in these metals. When designing a refractory high entropy alloy, efforts should be focused on reducing oxygen solubility. We find that the high solubility of oxygen is related to the thermodynamic stability of oxygen interstitials in pure refractory metals. To understand the impact of alloy composition on oxygen solubility in refractory alloys, we examine the thermodynamic stability of oxygen interstitials across various refractory binary alloys. Using first-principles Density Functional Theory (DFT), we calculate the Oxygen Interstitial Formation Energy (OIFE) of nine refractory metals and their 24 equiatomic binary alloys. The OIFE is determined by the bond strength between oxygen and the nearest neighbor (NN) metal atoms. It is a strong function of the nature of NN atoms that surround the interstitial site rather than the overall composition of the alloy. For a given alloy, the OIFE can vary based on the NN atoms around the oxygen interstitial. These observations indicate that an alloy with even a small amount of metal of high oxygen affinity (or highly negative OIFE), like Ti, can result in the high stability of oxygen in specific interstitial sites where the nearest neighbors are predominantly Ti atoms. It also explains Re as a choice of alloying elements to ductilize W instead of Ti. Although both Ti and Re alloying in W similarly improve its ductility, Ti's tendency to stabilize oxygen interstitials makes the W-Ti alloy brittle, while Re does not stabilize oxygen interstitials. © 2024 Elsevier B.V.",10.1016/j.jallcom.2024.175765
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203543125&doi=10.1016%2fj.wear.2024.205572&partnerID=40&md5=da7576c43da7685882690c8ced6b6be1,"The refractory high-entropy alloys (RHEAs) exhibit great potential as structural components for aerospace equipment. However, their lack of wear resistance and increased coefficient of friction at room temperature (RT) impose limitations on their practical applications. Therefore, further enhancements are required to improve their friction and wear properties under RT. In this context, the development of NbMoWTa(h-BN)x RHEA ceramic composites in this work offers a viable solution to address this issue. Experimental results demonstrate that the addition of h-BN leads to the in-situ generation of (Nb,Ta)N/(Nb,Ta)2N and (Nb,Ta)B2 ceramic phases, significantly enhancing the hardness and wear resistance of the composites. The wear rate of NbMoWTa(h-BN)0.5 reaching as low as 1.32 × 10−8 mm3/Nm, which is four orders of magnitude lower than that of the RHEA. The NbMoWTa RHEA exhibits significant adhesive wear, which can be effectively mitigated in composites through the uniform dispersion of ceramic phase particles with lower mean free path. The abrasive particles primarily interact with the hard strengthening phase, effectively inhibiting plastic deformation in their vicinity. Consequently, the reduced mean free path between the ceramic phases limits the likelihood of metal matrix removal. Subsequently, aided by the presence of ceramic phases, the spontaneous formation of protective third bodies further inhibit surface material removal and ultimately ensures exceptional wear resistance. © 2024 Elsevier B.V.",10.1016/j.wear.2024.205572
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206533955&doi=10.1016%2fj.matchemphys.2024.130054&partnerID=40&md5=0346bd8c293242552f7efdf335a93b91,"WMoTaNb RHEA has been manufactured using vacuum levitation melting. The as-cast WMoTaNb RHEA has equiaxed grains with a mean grain size of 71.4 μm, and the analysis of the experimental results of thermal conductivity, thermal expansion, and TG-DSC suggests that the as-cast WMoTaNb RHEA has excellent stability at elevated temperature above 1400 °C. This result experimentally explains the previous research on phase and microstructure stability. This study can provide experimental evidence for the high-level stability and help explain the elevated temperature mechanical behaviors of the as-cast WMoTaNb RHEA at elevated temperatures. © 2024 Elsevier B.V.",10.1016/j.matchemphys.2024.130054
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199880141&doi=10.1016%2fj.scriptamat.2024.116285&partnerID=40&md5=a3d226f8f72c1c7f67b53d0ccb0d1767,"Refractory high-entropy alloys (RHEAs) exhibit exceptional high-temperature mechanical properties, and their structural stability is primarily influenced by grain boundaries (GBs). However, it remains challenging to accurately quantify the grain boundary energy (GBE) in RHEAs. Herein, we introduce a quantitative descriptor for point-to-point prediction of GBEs in RHEAs based on local element concentration and valence-electron numbers. Our results demonstrate that the role of the constituent elements on GBEs is primarily determined by their valence-electron numbers in RHEAs. These findings are derived from the cohesive energy and atomic structure of the elements within the framework of the broken-bond model, as well as the differential contributions of s-electrons and d-electrons. The model establishes a structure-property relationship between local element concentration and GBEs, with the prediction consistent with experimental and theoretical results, which is crucial for evaluating the GB stability of RHEAs and facilitating the development of high-performance alloys. © 2024 Acta Materialia Inc.",10.1016/j.scriptamat.2024.116285
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204199471&doi=10.1016%2fj.jmrt.2024.09.131&partnerID=40&md5=5166957bec1469dbb62b01162da75636,"Refractory high-entropy alloys (RHEAs) have emerged as frontier materials for high-temperature structural applications due to their exceptional mechanical properties and thermal stability. This review aims to provide a comprehensive and in-depth summary of the latest research progress in the field of RHEAs. By systematically analyzing 253 publications since 2022, this review presents a panoramic overview of the current research status in the field of RHEAs, covering aspects from alloy design, microstructure, processing techniques, mechanical behavior, to physicochemical properties. Key strengthening and toughening mechanisms, such as solid solution strengthening, precipitation strengthening, and grain boundary strengthening, are extensively analyzed. The high-temperature mechanical performance, oxidation resistance, and adaptability of RHEAs in extreme environments including corrosion and irradiation, are critically reviewed, and the potential application value of these research findings in aerospace, nuclear energy, biomedical, and other fields is discussed. Simultaneously, the multidisciplinary characteristics of RHEAs research has revealed the trend of the field evolving from fundamental research to practical applications. Furthermore, with the aid of advanced characterization techniques and computational methods, the review elucidates the controlling effects of chemical short-range order, defect structures, and other factors on the performance evolution of RHEAs, highlighting the importance of multi-principal element synergistic effects. Based on summarizing the key scientific issues and technological bottlenecks faced by RHEAs, the article provides a forward-looking perspective on future research directions, emphasizing development strategies that integrate computation and experiments, and accelerate the transformation of fundamental research into engineering applications, thus providing insights and guidance for developing a new generation of high-performance RHEAs. © 2024 The Authors",10.1016/j.jmrt.2024.09.131
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202290083&doi=10.1016%2fj.ijrmhm.2024.106857&partnerID=40&md5=115f825ff169c4def27dba444ae4b982,"To increase strength and decrease density of traditional refractory high-entropy alloys (RHEAs), the MoNbVTa0.5Crx RHEAs were synthesized by mechanical alloying (MA) and spark plasma sintering (SPS). The effect of Cr content on microstructure and mechanical properties of the MoNbVTa0.5Crx RHEAs was systematically studied. The results showed the addition of Cr could refine the microstructure, decrease density and increase strength of RHEAs. The microstructure of the sintered alloy was composed of BCC phase and a small amount of oxide phase (Ta2VO6), and Ta2OV6 (200) has a semi-coherent relationship with BCC phase (110), with a lattice mismatch degree of 7.34 %. The compressive yield strength of the MoNbVTa0.5Crx RHEAs initially increased and then decreased with increasing Cr content. The MoNbVTa0.5Cr0.75 RHEAs demonstrated the best mechanical properties, and the compressive yield strength and ultimate compressive strength at room temperature were 3180 MPa and 3596 MPa, respectively, which were far higher than traditional WNbMoTaV RHEAs. And the density of MoNbVTa0.5Cr0.75 RHEAs was 21 % lower than that of sintered WNbMoTaV RHEAs. The strengthening mechanism of sintered MoNbVTa0.5Crx RHEAs involved O/C atoms interstitial solid solution strengthening, grain boundary strengthening, and metal atoms solid solution strengthening, while the contribution of oxide precipitation strengthening was negligible. © 2024",10.1016/j.ijrmhm.2024.106857
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204193377&doi=10.1016%2fj.intermet.2024.108497&partnerID=40&md5=cfb4903df2218cbeaab8a895ade4c63f,"VNbTa refractory medium-entropy alloy (RMEA) with extraordinary strength-ductility synergy and rolling formability was deemed as an ideal structural material suitable for industrial applications, whereas the tribological performance has been still unclear. Therefore, this work employed a ball-on-disc tribometer to evaluate friction and wear properties of VNbTa alloy at various temperatures. It was surprisingly found that, at 800 °C, the alloy exhibits exceptional tribological performance with the coefficient of friction (COF) of 0.13 and wear rate of 3.9 × 10−6 mm3/Nm. Our results indicated that the mild friction and wear at 800 °C are mainly attributed to the durable lubrication of in-situ molten V2O5 as well as good load-bearing capacity of hard oxide scale. © 2024 Elsevier Ltd",10.1016/j.intermet.2024.108497
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206524615&doi=10.1016%2fj.jallcom.2024.177046&partnerID=40&md5=f13f478821d0059909eeb5bc4e38ca8b,"Refractory high entropy TiTaZrHfW-N/Si3-N4 nano-layered alloy thin films are investigated to study the effect of nano-layered architecture and silicon (Si) mean content on their structural, mechanical, thermal properties and oxidation behavior. The films are deposited using direct current (DC) magnetron sputtering of separate Si and TiTaZrHfW targets. The Si mean content is controlled by tailoring the power discharge applied to the Si target. The deposition process led to a nano-layered architecture where Si3N4 (amorphous) and TiTaZrHfW-N (nano-crystalized NaCl FCC type structure) are alternated. By increasing the thickness of Si3N4 nano-layers, the Si mean content increases. All coatings are found to have good thermal stability after annealing under vacuum at 900 °C. Increasing Si mean content reduces the film's hardness; however, the annealing treatment at 900 °C improves it. A super-hardness of 41 GPa is found for the post-annealed Si-free film. Si3N4 nano-layers enhance the oxidation resistance at elevated temperatures of 600, 700, and 800 °C. This oxidation resistance is further enhanced by increasing the nano-layer's period and also by increasing the density of the films. © 2024 The Authors",10.1016/j.jallcom.2024.177046
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203281472&doi=10.1088%2f1361-648X%2fad7437&partnerID=40&md5=8df6a60153f1f0b27a72634297f618ab,"This work uses first-principles calculations to investigate the phase stability, thermophysical and mechanical properties of refractory high entropy alloys (RHEAs) at finite temperatures. On the basis of plane wave quasi-potential and density functional theory, construct the structure model of a solid solution. The TiMoNbX (X = Cr, Ta, Cr and Ta) RHEAs have been determined to preserve a single body-centered cubic solid solution structure by calculations and the equilibrium lattice parameters and elastic modulus are consistent with experimental data obtained by laser cladding, which is combined with TC4 (Ti-6Al-4V) substrate. Using the quasi-harmonic Debye-Grüneisen model, the thermophysical characteristics of three RHEAs are investigated. The Voigt-Reuss-Hill scheme is used for calculating the Young’s modulus (E), bulk modulus (B), shear modulus (G), and Poisson’s ratio (ν), which indicates that all three RHEAs are ductile materials. Additionally, the modulus and hardness of materials decrease as temperature rises, whereas the properties of TiMoNbX RHEAs are predicted, as the nanoindentation hardness values at room temperature are comparable to, and slightly higher than the calculated values. © 2024 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.",10.1088/1361-648X/ad7437
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207946869&doi=10.1016%2fj.intermet.2024.108549&partnerID=40&md5=600865cc8b709f36f068075ccfe4ecba,"AlCrMoNbTi high entropy alloy (HEA) has the potential to be an excellent oxidation-resistant refractory high entropy alloy (RHEA) but has been limited by an undesirable oxide layer structure. In this work, the initial oxidation behavior of AlCrMoNbTi HEA was investigated by a combination of experiments and DFT calculations. The results indicate that O atoms tend to occupy the adsorption sites containing Ti atoms. Consequently, Ti atoms are more prone to combine with O atoms, resulting in the formation of compounds, which impedes the formation of protective oxides, such as Al2O3 and Cr2O3. Meanwhile, calculations indicate that Cr atoms can form stable Cr-O bonds in a Ti-rich environment, which can be exploited to improve oxidation resistance by modifying the Cr-rich oxide layer. © 2024 Elsevier Ltd",10.1016/j.intermet.2024.108549
